id,long,lat,sub_basin,elevation,aap_(mm),riverdist_m,faultdist_m,landuse_type,slop(percent),slop(degrees),geo_unit,des_geouni,climate_type,des_climatetype
1.0,52.326,27.763,Mehran,617.0,137.0,1448.71,40639.58,poorrange,42.24,22.9,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
2.0,52.333,27.772,Mehran,944.0,137.0,344.3,40135.03,mix(woodland_x),68.22,34.3,KEpd-gu,Keewatin Epedotic quartz diorite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
3.0,52.326,27.763,Mehran,617.0,137.0,1448.71,40639.58,poorrange,42.24,22.9,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
4.0,52.333,27.694,Mehran,55.0,137.0,1889.83,42189.54,rock,12.14,6.92,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
5.0,52.324,27.682,Mehran,20.0,137.0,874.2,43010.08,poorrange,2.22,1.27,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
6.0,52.313,27.775,Mehran,616.0,137.0,404.81,38850.08,poorrange,12.94,7.37,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
7.0,52.313,27.685,Mehran,31.0,137.0,214.06,44108.09,rock,8.2,4.69,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
8.0,53.167,27.486,Mehran,938.0,128.0,942.29,41978.7,poorrange,38.08,20.85,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
9.0,53.173,27.483,Mehran,997.0,128.0,923.99,42012.63,poorrange,36.48,20.04,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
10.0,53.177,27.481,Mehran,982.0,128.0,630.4,42041.32,poorrange,38.59,21.1,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
